SID,IDENT,PYEPG,NAME,FSAT NUM,SKY NUM,HD,REGIONAL,RADIO,ICON
6715,6715,interactive_bbci_5,BBCi 5,0,0,0,0,0,
6751,BBC R1,radio_bbc_radio_1,BBC Radio 1,700,1101,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio1.jpg
6752,BBC R2,radio_bbc_radio_2,BBC Radio 2,702,1102,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio2.jpg
6753,BBC R3,radio_bbc_radio_3,BBC Radio 3,703,1103,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio3.jpg
6754,BBC R4 FM,radio_bbc_radio_4,BBC Radio 4,704,1104,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio4.jpg
6755,BBC R4 LW,radio_bbc_radio_4_lw,BBC Radio 4 LW,710,1143,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio4.jpg
6757,BBC R Scot.,radio_bbc_radio_scotland,BBC Radio Scotland,712,1116,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio_scotland.jpg
6758,BBC R Wales,radio_bbc_radio_wales,BBC Radio Wales,714,1117,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio_wales.jpg
6759,BBC R Ulster,radio_bbc_radio_ulster,BBC Radio Ulster,716,1118,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio_ulster.jpg
6760,BBC Asian,radio_bbc_asian_network,BBC Asian Network,709,1119,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio_asian_network.jpg
6761,BBC WS,radio_bbc_world_service,BBC World Service,711,1115,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_world_service.jpg
6762,ETV3,,ETV3,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ee/etv3_et.jpg
6763,BBC R Cymru,radio_bbc_radio_cymru,BBC Radio Cymru,715,1154,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio_cymru.jpg
6766,BBC R1X,radio_bbc_radio_1xtra,BBC Radio 1Xtra,701,1137,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio1_xtra.jpg
6767,BBC 6 Music,radio_bbc_radio_6_music,BBC Radio 6 Music,707,1120,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio6_music.jpg
6768,BBC R4 Ex,radio_bbc_radio_4_extra,BBC Radio 4 Extra,708,1131,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio4_extra.jpg
6769,BBC R n Gael,radio_bbc_radio_nan_gaidheal,BBC Radio nan Gàidheal,713,1139,0,0,1,http://www.lyngsat-logo.com/logo/radio/bb/bbc_radio_nan_gaidheal.jpg
6770,BBC  London,tv_bbc_one_london,BBC One London,950,974,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_london.jpg
6780,T7 STRM-0,interactive_bbc_multiscreen,T7 STEM-0 (BBC Multi Screen),0,0,0,0,0,
6940,BBC HD,tv_bbc_hd,BBC HD,109,169,1,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_hd_uk.jpg
6941,BBC One HD,tv_bbc_one_hd,BBC One HD,108,143,1,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_hd.jpg
7140,CNN,tv_cnn,CNN,207,506,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/cnn_international_europe.jpg
7230,QVC,tv_qvc,QVC,800,640,0,0,0,http://www.lyngsat-logo.com/logo/tv/qq/qvc_uk.jpg
7231,QVC Test,,,0,0,0,0,0,
7234,QVC Mirror,,,0,0,0,0,0,
7235,QVC Mosaic Test,,,0,0,0,0,0,
7236,QVC MOSAIC,,,0,0,0,0,0,
7250,bid,tv_bid,Bid,802,654,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bid_tv.jpg
7301,S4C,tv_s4c,S4C,120,134,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/s4c_digidol.jpg
7702,Channel 5,tv_channel_5_north,Channel 5 North,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel5_region1.jpg
7703,Channel 5,tv_channel_5_scotland,Channel 5 Scotland,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel5_region1.jpg
7704,Channel 5,tv_channel_5_northern_ireland,Channel 5 Northern Ireland,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel5_region1.jpg
7710,5 USA,tv_5usa,5USA,129,174,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel5_usa.jpg
7711,5 USA +1,tv_5usa+1,5USA +1,130,175,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel5_usa.jpg
7715,5*,tv_5star,5*,131,176,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel5_star.jpg
7716,5* +1,tv_5star+1,5* +1,132,236,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel5_star_plus1.jpg
8300,E4+1,tv_e4+1,E4 +1,123,137,0,0,0,http://www.lyngsat-logo.com/logo/tv/ee/e4_plus1.jpg
8305,E4,tv_e4,E4,122,136,0,0,0,http://www.lyngsat-logo.com/logo/tv/ee/e4_plus1.jpg
8311,Channel 4 +1,tv_channel_4_london+1,Channel 4 London +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_plus1.jpg
8312,Channel 4 +1,tv_channel_4_south_and_east+1,Channel 4 South & East +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_south_east_plus1.jpg
8313,Channel 4 +1,tv_channel_4_midlands+1,Channel 4 Midlands +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_midlands_plus1.jpg
8314,Channel 4 +1,tv_channel_4_north+1,Channel 4 North +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_north_plus1.jpg
8315,Channel 4 +1,tv_channel_4_northern_ireland+1,Channel 4 Northern Ireland +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_northern_ireland_plus1.jpg
8316,Channel 4 +1,tv_channel_4_scotland+1,Channel 4 Scotland +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_scotland_plus1.jpg
8340,More4,tv_more4,More4,124,138,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_more4_uk.jpg
9211,Channel 4,tv_channel_4_london,Channel 4 London,974,994,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_uk.jpg
9212,Channel 4,tv_channel_4_south_and_east,Channel 4 South & East,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_south_east.jpg
9213,Channel 4,tv_channel_4_midlands,Channel 4 Midlands,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_midlands.jpg
9214,Channel 4,tv_channel_4_north,Channel 4 North,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_north.jpg
9215,Channel 4,tv_channel_4_northern_ireland,Channel 4 Northern Ireland,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_northern_ireland.jpg
9216,Channel 4,tv_channel_4_scotland,Channel 4 Scotland,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_scotland.jpg
9220,Film4,tv_film4,Film4,300,315,0,0,0,http://www.lyngsat-logo.com/logo/tv/ff/film4.jpg
9225,Film4 +1,tv_film4+1,Film4 +1,301,316,0,0,0,http://www.lyngsat-logo.com/logo/tv/ff/film4_plus1.jpg
9230,More4 +1,tv_more4+1,More4 +1,125,139,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_more4_uk_plus1.jpg
9281,c4 l,tv_c4l,c4 l,0,0,0,0,0,
9531,TV SHOP,tv_tv_shop,TV Shop,806,643,0,0,0,http://www.lyngsat-logo.com/logo/tv/tt/tv_shop.jpg
9532,CBS Reality,tv_cbs_reality,CBS Reality,135,146,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/cbs_reality.jpg
9533,Rocks & Co 1,tv_rocks_and_co_1,Rocks & Co 1,817,666,0,0,0,http://www.lyngsat-logo.com/logo/tv/rr/rocks_and_co.jpg
9535,Record TV,tv_record_tv,Record TV,0,801,0,0,0,
9536,Sangat,tv_sangat_tv,Sangat TV,0,847,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/sangat_tv.jpg
9537,JML Home&DIY,tv_jml_home_and_diy,JML Home & DIY,0,653,0,0,0,http://www.lyngsat-logo.com/logo/tv/jj/jml_home_and_diy.jpg
9546,Recordbrazil,radio_record_radio,Record Radio,0,1206,0,0,1,
9548,Sukh Sagar,radio_sukh_sagar,Sukh Sagar,0,1150,0,0,1,http://www.lyngsat-logo.com/logo/radio/ss/sukh_sagar_radio.jpg
9549,Choice FM,radio_choice_fm,Choice FM,720,1114,0,0,1,http://www.lyngsat-logo.com/logo/radio/cc/choice_fm.jpg
9551,UCB UK,radio_ucb_uk,UCB UK,0,1125,0,0,1,http://www.lyngsat-logo.com/logo/radio/uu/ucb_uk.jpg
9552,UCB Insp,radio_ucb_inspiration,UCB Inspiration,0,1136,0,0,1,http://www.lyngsat-logo.com/logo/radio/uu/ucb_inspirational.jpg
9553,UCB Bible,radio_ucb_bible,UCB Bible,0,1134,0,0,1,http://www.lyngsat-logo.com/logo/radio/uu/ucb_bible.jpg
9554,UCB Gospel,radio_ucb_gospel,UCB Gospel,0,1135,0,0,1,http://www.lyngsat-logo.com/logo/radio/uu/ucb_gospel.jpg
9557,Solar Radio,radio_solar_radio,Solar Radio,0,1129,0,0,1,http://www.lyngsat-logo.com/logo/radio/ss/solar_radio.jpg
9559,XFM,radio_xfm_london,XFM London,723,1113,0,0,1,http://www.lyngsat-logo.com/logo/radio/xx/xfm_1049.jpg
9560,Capital FM,radio_capital_fm,Capital FM,719,1109,0,0,1,http://www.lyngsat-logo.com/logo/radio/cc/capital_fm_london.jpg
9561,Gold,radio_gold,Gold,722,1121,0,0,1,http://www.lyngsat-logo.com/logo/radio/gg/gold_dab.jpg
9563,Khushkhabri,radio_khushkhabri,Khushkhabri,0,1151,0,0,1,
9566,Kismat,radio_kismat_radio,Kismat Radio,0,1173,0,0,1,http://www.lyngsat-logo.com/logo/radio/kk/kismat_radio.jpg
9568,Chill,radio_chill,Chill,0,1177,0,0,1,http://www.lyngsat-logo.com/logo/radio/cc/chill.jpg
9570,Classic FM,radio_classic_fm,Classic FM,721,1106,0,0,1,http://www.lyngsat-logo.com/logo/radio/cc/classic_fm_uk.jpg
9575,Planet Rock,radio_planet_rock,Planet Rock,730,1110,0,0,1,http://www.lyngsat-logo.com/logo/radio/pp/planet_rock.jpg
9611,RTE Radio 1,radio_rte_radio_1,RTÉ Radio 1,750,1160,0,0,1,http://www.lyngsat-logo.com/logo/radio/rr/rte_radio1.jpg
9612,RTE 2FM,radio_rte_2fm,RTÉ 2fm,751,1164,0,0,1,http://www.lyngsat-logo.com/logo/radio/rr/rte_radio2.jpg
9613,RTE R na G,radio_rte_raidio_na_gaeltachta,RTÉ Raidió na Gaeltachta,753,1166,0,0,1,http://www.lyngsat-logo.com/logo/radio/rr/rte_raidio_nagaeltachta.jpg
9614,RTE Lyric fm,radio_rte_lyric_fm,RTÉ lyric fm,752,1165,0,0,1,http://www.lyngsat-logo.com/logo/radio/rr/rte_lyric_fm.jpg
10000,ITV1 HD,tv_itv1_london_hd,ITV1 London HD,0,0,1,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_london_hd.jpg
10015,ITV4+1,tv_itv4+1,ITV4 +1,118,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv4_plus1.jpg
10020,ITV1 Wales,tv_itv1_wales,ITV1 Wales,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_wales.jpg
10030,ITV1 West,tv_itv1_west,ITV1 West,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_west.jpg
10040,ITV1 W Country,tv_itv1_west,ITV1 West,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_westcountry_south_west.jpg
10055,ITV1+1,tv_utv+1,UTV +1,0,0,0,0,0,
10060,ITV1 London,tv_itv1_london,ITV1 London,977,993,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_london.jpg
10070,ITV2,tv_itv2,ITV2,113,118,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv2.jpg
10071,CITV,tv_citv,CITV,602,621,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/citv_uk.jpg
10072,ITV4,tv_itv4,ITV4,117,120,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv4.jpg
10079,ITVi Stream 44,interactive_itvi_44,ITVi Stream 44,0,0,0,0,0,
10080,ITV1 Granada,tv_itv1_granada,ITV1 Granada,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_granada.jpg
10090,ITV1 Anglia E,tv_itv1_anglia,ITV1 Anglia,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_anglia.jpg
10098,ITVi tp49,interactive_itvi_49,,0,0,0,0,0,
10099,G49,,,0,0,0,0,0,
10100,ITV1 Central W,tv_itv1_central,ITV1 Central,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_central_west.jpg
10120,ITV1 Border,tv_itv1_border_and_tyne_tees,ITV1 Border and Tyne Tees,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_border.jpg
10125,ITV1+1,tv_utv+1,UTV +1,0,0,0,0,0,
10130,ITV1 Tyne Tees,tv_itv1_tyne_tees,ITV1 Tyne Tees,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_tyne_tees.jpg
10140,ITV1 Meridian S,tv_itv1_meridian,ITV1 Meridian,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_meridian_south.jpg
10141,ITV1 Meridian E,tv_itv1_meridian,ITV1 Meridian,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_meridian_se.jpg
10145,ITV1+1,tv_itv1_central+1,ITV1 Central +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_central_west_plus1.jpg
10150,ITV1 Anglia S,tv_itv1_anglia,ITV1 Anglia,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_anglia.jpg
10155,ITV1+1,tv_itv1_london+1,ITV1 London +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_london_plus1.jpg
