tv_bbc_one_channel_islands,cbbm,http://www.bbc.co.uk/services/bbcone/channel_islands,bbc.co.uk
tv_bbc_one_east,cbbn,http://www.bbc.co.uk/services/bbcone/east,bbc.co.uk
tv_bbc_one_east_midlands,cbbp,http://www.bbc.co.uk/services/bbcone/east_midlands,bbc.co.uk
tv_bbc_one_hd,cbbq,http://www.bbc.co.uk/services/bbcone/hd,bbc.co.uk
tv_bbc_one_north_east_and_cumbria,cbbr,http://www.bbc.co.uk/services/bbcone/north_east,bbc.co.uk
tv_bbc_one_north_west,cbbs,http://www.bbc.co.uk/services/bbcone/north_west,bbc.co.uk
tv_bbc_one_scotland,cbbv,http://www.bbc.co.uk/services/bbcone/scotland,bbc.co.uk
tv_bbc_one_south,cbbw,http://www.bbc.co.uk/services/bbcone/south,bbc.co.uk
tv_bbc_one_south_east,cbbx,http://www.bbc.co.uk/services/bbcone/south_east,bbc.co.uk
tv_bbc_one_wales,cbby,http://www.bbc.co.uk/services/bbcone/wales,bbc.co.uk
tv_bbc_one_south_west,cbbz,http://www.bbc.co.uk/services/bbcone/south_west,bbc.co.uk
tv_bbc_one_west,cbbB,http://www.bbc.co.uk/services/bbcone/west,bbc.co.uk
tv_bbc_one_west_midlands,cbbC,http://www.bbc.co.uk/services/bbcone/west_midlands,bbc.co.uk
tv_bbc_one_yorks_and_lincs,cbbD,http://www.bbc.co.uk/services/bbcone/east_yorkshire,bbc.co.uk
tv_bbc_one_yorkshire,cbbF,http://www.bbc.co.uk/services/bbcone/yorkshire,bbc.co.uk
tv_bbc_two_england,cbbG,http://www.bbc.co.uk/services/bbctwo/england,bbc.co.uk
tv_bbc_two_northern_ireland_(analogue),cbbJ,http://www.bbc.co.uk/services/bbctwo/ni_analogue,bbc.co.uk
tv_bbc_two_wales_(analogue),cbbN,http://www.bbc.co.uk/services/bbctwo/wales_analogue,bbc.co.uk
tv_bbc_two_scotland,cbbK,http://www.bbc.co.uk/services/bbctwo/scotland,bbc.co.uk
tv_bbc_two_wales,cbbM,http://www.bbc.co.uk/services/bbctwo/wales,bbc.co.uk
